Table	Column	Datatype	Offset	Length	Description
Table : AP0_Div					
AP0_Div	DIV_NUM	CHAR	1	2	Division Number
AP0_Div	DIV_DESC	CHAR	3	30	Title
Keys :					
Primary Key: DIV_NUM					
					
Table : AP2_Term					
AP2_Term	TERMS_CODE	CHAR	1	2	Terms Code
AP2_Term	TERMS_DESC	CHAR	3	30	Terms Description
AP2_Term	TERMS_TYPE	CHAR	33	1	"P=Period, E=End, N=Next, D=Day"
AP2_Term	DAYS_TILL_DUE	CHAR	34	3	Number of days until due
AP2_Term	DAYS_IN_PERIOD	CHAR	37	2	Day in month or Days in period
AP2_Term	CUTOFF_DAY_IN_MONTH	CHAR	39	2	Cutoff day for current  month
AP2_Term	DUE_DATE_2ND	CHAR	41	2	Second Due Date
AP2_Term	DISC_DUE_DATE_TYPE	CHAR	43	1	Discount due date type
AP2_Term	DAYS_TILL_DUE_2ND	CHAR	44	3	Number of days until due
AP2_Term	DUE_DAY	CHAR	47	2	Enter the Due Day
AP2_Term	CUTOFF_DAY_2ND	CHAR	49	2	cutoff day fo current month
AP2_Term	DAYS_IN_PERIOD_2ND	CHAR	51	2	Disc Due day or # days period
AP2_Term	DAYS_DUE_2ND	CHAR	53	3	percentage discount allowed
AP2_Term	AP2_UNUSED_1	CHAR	56	45	percentage discount allowed
AP2_Term	PRCNT_DISC_ALLOWED	NUMBER		14.3	Percentage Discount Allowed
AP2_Term	PERCENTAGE_2ND	NUMBER		14.3	2nd Percentage Discount Allowed
Keys :					
Primary Key: TERMS_CODE					
					
Table : AP3_VendCatg					
AP3_VendCatg	VEND_CATEGORY	CHAR	1	9	Vendor category code
AP3_VendCatg	CATEGORY_DESC	CHAR	10	30	Category description
Keys :					
Primary Key: VEND_CATEGORY					
					
Table : AP4_Vend					
AP4_Vend	VEND_DIV	CHAR	1	2	Vendor Code
AP4_Vend	VEND_CODE	CHAR	3	8	
AP4_Vend	VEND_NAME	CHAR	11	35	Vendor Name
AP4_Vend	VEND_ADDR_1	CHAR	46	30	Address Line 1
AP4_Vend	VEND_ADDR_2	CHAR	76	30	Address Line 2
AP4_Vend	VEND_CITY	CHAR	106	16	City
AP4_Vend	VEND_ST	CHAR	122	2	State Code
AP4_Vend	VEND_ZIP	CHAR	124	9	Zip Code
AP4_Vend	VEND_FAX	CHAR	133	12	Fax number
